"Guid","SBQQ__Field__c","SBQQ__FilterFormula__c","SBQQ__FilterType__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Object__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedFormula__c","SBQQ__TestedVariable__c","SBQQ__Value__c"
314cf0f4-5f77-4f31-944e-ddf4b9f13307,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,c4314d61-79b3-4b50-a66b-e38eb73a16fd,"#N/A","#N/A",Run-on-all-quotelines
6dfa3a39-7c76-43c8-ac1f-65edb35b6bf8,"#N/A","#N/A",Value,"#N/A","#N/A",Summary Variable,equals,ead0e806-b76f-4e0a-96a2-59e46d757e32,"#N/A",3d45b03e-f43d-4af5-a575-1048bbda4694,1
bf2b0129-7477-4145-88f1-cadb4bfa1207,Product Code,"#N/A",Variable,"#N/A","#N/A",Product Option,equals,5aa95037-dcfe-4ffc-863d-a2d670bd848e,"#N/A","#N/A",123
