"Guid","SBQQ__AppliedImmediately__c","SBQQ__ApplyToProductOptions__c","SBQQ__AttributeSet__c","SBQQ__Attribute__c","SBQQ__AutoSelect__c","SBQQ__HiddenValues__c","SBQQ__Hidden__c","SBQQ__Required__c","SBQQ__Sequence__c","SBQQ__ShownValues__c"
20fe5d31-b735-4b00-b262-2ac57677d7a4,"#N/A","#N/A","#N/A",21080a66-4f63-40c6-8178-23084c140d58,"#N/A","#N/A","#N/A","#N/A",1.0,"#N/A"
362bc4fa-5627-4d4b-99bd-93bdc250c34c,"#N/A","#N/A",82f33f49-fa6c-4693-a8cc-fbc9d5dfbbe0,21080a66-4f63-40c6-8178-23084c140d58,"#N/A","#N/A","#N/A","#N/A",1.0,"#N/A"
